,Country,Species..ASFIS.species.,Aquaculture.area..FAO.major.fishing.area.,Environment..Environment.,Unit,X2010,X2011,X2012,X2013,X2014,avg_prod,suitable_area,total_area
64,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,10400.37304,110643.1317
65,Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,46637.02423,102165.3499
66,Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,33294.84169,106745.9317
67,Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,47092.34132,138643.9344
68,Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,3723.251321,117388.6856
69,Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,56587.04476,208534.4504
70,Iceland,All,All,Marine,t,1467,976,997,706,454,920,42100.14495,808677.2997
71,India,All,All,Marine,t,22257,18514,17405,18600,17200,18795.2,365497.7826,2323827.065
72,Indonesia,All,All,Marine,t,3512271,4613918,5769738,8381562,9033389,6262175.6,1698752.759,6025109.715
73,Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,117142.4092,215347.6045
74,Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1136.291038,1187.501113
75,Ireland,All,All,Marine,t,45758,43609,35451,33390,30314,37704.4,63485.37616,426997.6569
76,Israel,All,All,Marine,t,1175,1370,1980,2530,2403,1891.6,2265.304676,23511.41772
77,Italy,All,All,Marine,t,71953,86347,85428,85428,85363,82903.8,71977.37741,536727.5447
78,Ivory Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,10627.96828,172015.1884
79,Jamaica,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,12570.00078,272300.7896
80,Japan,All,All,Marine,t,1111338,867266,1039504,996329,986320,1000151.4,168511.372,4317016.85
81,Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,3.722724389,97.08352206
82,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,84403.8313,114381.0019
83,Kenya,All,All,Marine,t,40,160,400,400,NA,250,5102.411595,164048.2247
84,Kiribati,All,All,Marine,t,4745,4290,8280,2250,3580,4629,5199.004075,3439873.028
85,"Korea, Dem. People's Rep",All,All,Marine,t,504600,504600,504600,504600,504700,504620,32865.73566,114165.5145
86,"Korea, Republic of",All,All,Marine,t,1355000,1477547,1488949,1515210,1546681,1476677.4,209694.4933,392923.2851
87,Kuwait,All,All,Marine,t,10,10,10,2,2,6.8,11198.64892,11182.536
88,Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,21051.30528,28355.97622
89,Lebanon,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,800.0464335,20185.60979
90,Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,16269.28476,251776.2753
91,Libya,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,40354.01927,364446.9503
92,Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,6689.128569,6830.53929
93,Madagascar,All,All,Marine,t,8001,7105,6353,8938,13055,8690.4,109663.972,1239893.644
94,Malaysia,All,All,Marine,t,297258,300245,376624,311427,288044,314719.6,352907.0468,510822.8388
95,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,25585.1202,925222.836
96,Malta,All,All,Marine,t,2916,2127,4336,5266,4917,3912.4,1643.553983,52913.42483
97,Marshall Islands,All,All,Marine,t,NA,NA,NA,NA,1,1,17219.81151,2001385.965
98,Martinique,All,All,Marine,t,72,40,40,45,59,51.2,NA,NA
99,Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,30289.73434,173189.7366
100,Mauritius,All,All,Marine,t,502,463,439,347,686,487.4,NA,NA
101,Mayotte,All,All,Marine,t,76,44,105,109,120,90.8,NA,NA
102,Mexico,All,All,Marine,t,104657,113265,101443,69919,96337,97124.2,332389.229,3186924.407
103,Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,19644.88289,3010627.534
104,"Micronesia, Fed.States of",All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,NA,NA
105,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,4.949607466,287.6109329
106,Montenegro,All,All,Marine,t,270,320,281,281,262,282.8,1878.294863,6382.369377
107,Morocco,All,All,Marine,t,49,64,169,170,237,137.8,38268.35327,280453.1367
108,Mozambique,All,All,Marine,t,667,512,109,140,160,317.6,74222.16216,566107.3198
109,Myanmar,All,All,Marine,t,77273,56701,59777,58780,59950,62496.2,188702.9746,497442.1801
110,Namibia,All,All,Marine,t,645,473,475,615,825,606.6,27350.96947,562210.1609
111,Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,2.56427264,309260.5128
112,Netherlands,All,All,Marine,t,60205,39400,42559,56820,56820,51160.8,70072.79361,144900.9913
113,Netherlands Antilles,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,NA,NA
114,New Caledonia,All,All,Marine,t,1220,1561,1663,1593,1656,1538.6,NA,NA
115,New Zealand,All,All,Marine,t,109967,116591,98958,96550,108790,106171.2,136195.2659,6712847.064
116,Nicaragua,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,71158.79649,228251.8571
117,Nigeria,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,36320.2211,179050.962
119,Norway,All,All,Marine,t,1019714,1143820,1321034,1247762,1332422,1212950.4,195193.3999,2463907.208
120,Oman,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,43721.35736,556485.9062
121,Pakistan,All,All,Marine,t,101,105,108,112,115,108.2,40360.32629,224387.8325
122,Palau,All,All,Marine,t,25,24,36,20,11,23.2,2657.525131,614805.2485
123,Palestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,730.9544128,2329.73148
124,Panama,All,All,Marine,t,150,300,230,980,1459,623.8,40479.57073,331242.3704
125,Papua New Guinea,All,All,Marine,t,100,250,1400,2500,3000,1450,147396.4455,2403327.302
126,Peru,All,All,Marine,t,71701,68592,42730,85625,76588,69047.2,43355.45329,855322.2843
127,Philippines,All,All,Marine,t,1933396,1990090,1911703,1727165,1715663,1855603.4,200846.4993,1971039.862
128,Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,28568.95921,29970.73991
129,Portugal,All,All,Marine,t,6001,6709,9475,8891,10113,8237.8,15969.01553,1728705.892
130,Puerto Rico,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,NA,NA
131,Qatar,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,30427.43299,30648.84312
132,Republic of Mauritius,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,25272.90553,1278112.771
133,Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,5682.401608,33806.68285
134,Réunion,All,All,Marine,t,50,30,30,5,5,24,NA,NA
135,Romania,All,All,Marine,t,NA,1,2,2,32,9.25,20000.83808,29604.7834
136,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,,
137,Russian Federation,All,All,Marine,t,6264,10254,11446,25766,25251,15796.2,3127827.446,7734475.082
138,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,587.078872,9501.834335
139,Saint Lucia,All,All,Marine,t,15,11,15,26,21,17.6,455.6174199,15412.93523
140,Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1743.987283,36243.19259
141,Samoa,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,1246.180166,130473.5469
142,Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1418.581448,165376.3796
143,Saudi Arabia,All,All,Marine,t,22610,11214,7392,3240,17440,12379.2,88319.97061,224137.8554
144,Senegal,All,All,Marine,t,39,118,196,190,246,157.8,21161.05148,158604.1155
145,Serbia and Montenegro,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,NA,NA
146,Seychelles,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,45445.12236,1341497.029
147,Sierra Leone,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,22981.38081,160578.2776
