"","EEZ","Country","Sovereign","Area_m2"
"82","Ghanaian Exclusive Economic Zone","Ghana","Ghana",226271212900
"83","Clipperton Island Exclusive Economic Zone","Clipperton Island","France",433025257900
"84","Bermudian Exclusive Economic Zone","Bermuda","United Kingdom",450639780700
"85","Ecuadorean Exclusive Economic Zone (Galapagos)","Galapagos Islands","Ecuador",839277028600
"86","Turks and Caicos Exclusive Economic Zone","Turks and Caicos Islands","United Kingdom",153833898100
"87","Cuban Exclusive Economic Zone","Cuba","Cuba",365000249900
"88","Cayman Islands Exclusive Economic Zone","Cayman Islands","United Kingdom",119363309800
"89","Dominican Republic Exclusive Economic Zone","Dominican Republic","Dominican Republic",270241978800
"90","Puerto Rican Exclusive Economic Zone","Puerto Rico of the United States","United States",175765656400
"91","British Virgin Islands Exclusive Economic Zone","British Virgin Islands","United Kingdom",80335599660
"92","Anguilla Exclusive Economic Zone","Anguilla","United Kingdom",92435052520
"93","Saint Kitts and Nevis Exclusive Economic Zone","Saint Kitts and Nevis","Saint Kitts and Nevis",10241375230
"94","Antigua and Barbuda Exclusive Economic Zone","Antigua and Barbuda","Antigua and Barbuda",108263424600
"95","Montserrat Exclusive Economic Zone","Montserrat","United Kingdom",7611463072
"96","Saint Lucia Exclusive Economic Zone","Saint Lucia","Saint Lucia",15526843420
"97","Dominican Exclusive Economic Zone","Dominica","Dominica",28655447200
"98","Barbados Exclusive Economic Zone","Barbados","Barbados",184600679400
"99","Grenadian Exclusive Economic Zone","Grenada","Grenada",26225673760
"100","Trinidad and Tobago Exclusive Economic Zone","Trinidad and Tobago","Trinidad and Tobago",75609690530
"101","Saint Vincent and the Grenadines Exclusive Economic Zone","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",36427905460
"102","Curaçaoan Exclusive Economic Zone","Curaçao","Netherlands",30525955990
"103","Panamanian Exclusive Economic Zone","Panama","Panama",332265093100
"104","El Salvador Exclusive Economic Zone","El Salvador","El Salvador",94008278220
"105","Ecuadorean Exclusive Economic Zone","Ecuador","Ecuador",238320467800
"106","Peruvian Exclusive Economic Zone","Peru","Peru",836378594600
"107","Venezuelan Exclusive Economic Zone","Venezuela","Venezuela",472089722700
"108","Guadeloupean Exclusive Economic Zone","Guadeloupe","France",90711751430
"109","Faeroe Islands Exclusive Economic Zone","Faeroe Islands","Denmark",265815789700
"110","Fishieries Zone around Jan Mayen","Jan Mayen","Norway",291353422300
"111","Pitcairn Exclusive Economic Zone","Pitcairn","United Kingdom",837887962600
"112","French Polynesian Exclusive Economic Zone","French Polynesia","France",4786147392000
"113","Kiribati Exclusive Economic Zone (Line Group)","Line Group","Kiribati",1652465701000
"114","Jarvis Island Exclusive Economic Zone","Jarvis Island","United States",317975169400
"115","Palmyra Atoll Exclusive Economic Zone","Palmyra Atoll","United States",352340345400
"116","American Samoa Exclusive Economic Zone","American Samoa","United States",405895812700
"117","Samoan Exclusive Economic Zone","Samoa","Samoa",132009187300
"118","Cook Islands Exclusive Economic Zone","Cook Islands","New Zealand",1966947867000
"119","Niue Exclusive Economic Zone","Niue","New Zealand",317508271500
"120","Tongan Exclusive Economic Zone","Tonga","Tonga",666658385600
"121","Tokelau Exclusive Economic Zone","Tokelau","New Zealand",320391712700
"122","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group","Kiribati",746344723000
"123","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island","United States",436866982100
"124","Johnston Atoll Exclusive Economic Zone","Johnston Atoll","United States",444121147800
"125","United States Exclusive Exclusive Economic Zone (Hawaii)","Hawaii","United States",2480121736000
"126","Colombia - Jamaica (Joint Regime)","Colombia - Jamaica","Joint Regime",18318648970
"127","Jamaican Exclusive Economic Zone","Jamaica","Jamaica",245699055600
"128","Guyanese Exclusive Economic Zone","Guyana","Guyana",136600603500
"129","Surinamese Exclusive Economic Zone","Suriname","Suriname",128061452700
"130","French Guiana Exclusive Economic Zone","French Guiana","France",136079764500
"131","Brazilian Exclusive Economic Zone","Brazil","Brazil",3194626959000
"132","Finnish Exclusive Economic Zone","Finland","Finland",79291769040
"133","Danish Exclusive Economic Zone","Denmark","Denmark",100452346200
"134","Dutch Exclusive Economic Zone","Netherlands","Netherlands",64086430100
"135","Italian Exclusive Economic Zone","Italy","Italy",537659928400
"136","Croatian Exclusive Economic Zone","Croatia","Croatia",55335549850
"137","Slovenian Exclusive Economic Zone","Slovenia","Slovenia",185902904.4
"138","Lithuanian Exclusive Economic Zone","Lithuania","Lithuania",6110871150
"139","Iraqi Exclusive Economic Zone","Iraq","Iraq",594542106
"140","Guinea Bissau Exclusive Economic Zone","Guinea Bissau","Guinea Bissau",106297946700
"141","Guinean Exclusive Economic Zone","Guinea","Guinea",109994530600
"142","Ivory Coast Exclusive Economic Zone","Ivory Coast","Ivory Coast",174453300500
"143","Nigerian Exclusive Economic Zone","Nigeria","Nigeria",182459351100
"144","Cameroonian Exclusive Economic Zone","Cameroon","Cameroon",14671222390
"145","Gabonese Exclusive Economic Zone","Gabon","Gabon",192863145900
"146","Democratic Republic of the Congo Exclusive Economic Zone","Democratic Republic of the Congo","Democratic Republic of the Congo",13272440050
"147","Angolan Exclusive Economic Zone","Angola","Angola",492800059600
"148","Nigeria - Sao Tome and Principe Joint","Nigeria - Sao Tome and Principe","Joint Regime",34690898020
"149","Tanzanian Exclusive Economic Zone","Tanzania","Tanzania",242540840900
"150","Bangladeshi Exclusive Economic Zone","Bangladesh","Bangladesh",84343777140
"151","Myanmar Exclusive Economic Zone","Myanmar","Myanmar",512842402300
"152","Singaporean Exclusive Economic Zone","Singapore","Singapore",760982994.4
"153","Antarctic 200NM zone beyond the coastline","Antarctica","Antarctica",8618033041000
"154","Saint-Pierre and Miquelon Exclusive Economic Zone","Saint Pierre and Miquelon","France",12312380530
"155","Saba Exclusive Economic Zone","Saba","Netherlands",9455631072
"156","Saint-Martin Exclusive Economic Zone","Northern Saint-Martin","France",5374689730
"157","Chilean Exclusive Economic Zone (Easter Island)","Easter Island","Chile",721678914500
"158","Japan - South Korea Conflict Zone","Japan - South Korea Conflict Zone","Disputed",66308992170
"159","Greenlandic Exclusive Economic Zone","Greenland","Denmark",2258669168000
"160","Icelandic Exclusive Economic Zone","Iceland","Iceland",751203550000
"161","Jersey Exclusive Economic Zone","Jersey","United Kingdom",2955473639
"162","Guernsey Exclusive Economic Zone","Guernsey","United Kingdom",8653557503
"163","Maldives Exclusive Economic Zone","Maldives","Maldives",920102286000
"164","British Indian Ocean Territory Exclusive Economic Zone","British Indian Ocean Territory","United Kingdom",641306386300
"165","Sudanese Exclusive Economic Zone","Sudan","Sudan",66640610950
"166","Bahraini Exclusive Economic Zone","Bahrain","Bahrain",7615934213
"167","Irish Exclusive Economic Zone","Ireland","Ireland",425541392200
"168","Bahamas Exclusive Economic Zone","Bahamas","Bahamas",596449802100
"169","Indonesian Exclusive Economic Zone","Indonesia","Indonesia",5934985871000
"170","Portuguese Exclusive Economic Zone","Portugal","Portugal",311016366200
"171","Chilean Exclusive Economic Zone","Chile","Chile",2927395242000
"172","Joint Development Area Australia - East Timor","Australia - East Timor","Joint Development",34955570990
"173","Protected Zone established under the Torres Strait Treaty","Australia - Papua New Guinea","Australia - Papua New Guinea",3729431830
"174","Bosnian and Herzegovinian Exclusive Economic Zone","Bosnia and Herzegovina","Bosnia and Herzegovina",12734482.54
"175","Azerbaijanis Exclusive Economic Zone","Azerbaijan","Azerbaijan",78856738850
"176","Kazakh Exclusive Economic Zone","Kazakhstan","Kazakhstan",118813701800
"177","Turkmen Exclusive Economic Zone","Turkmenistan","Turkmenistan",77711271190
"178","United Kingdom Exclusive Economic Zone","United Kingdom","United Kingdom",721712507500
"179","Jordanian Exclusive Economic Zone","Jordan","Jordan",93456550.84
"180","Fisheries Zone around Svalbard","Svalbard","Norway",789866047300
"181","United States Exclusive Economic Zone","United States","United States",2440592283000
"182","Saudi Arabian Exclusive Economic Zone","Saudi Arabia","Saudi Arabia",219842918100
"183","Omani Exclusive Economic Zone","Oman","Oman",537779114100
"184","Canadian Exclusive Economic Zone","Canada","Canada",5685624120000
"185","Japanese Exclusive Economic Zone","Japan","Japan",4031753369000
"186","Fijian Exclusive Economic Zone","Fiji","Fiji",1285764601000
"187","New Zealand Exclusive Economic Zone","New Zealand","New Zealand",4098199086000
"188","United Arab Emirates Exclusive Economic Zone","United Arab Emirates","United Arab Emirates",54591244780
"189","Egyptian Exclusive Economic Zone","Egypt","Egypt",236107605000
"190","Israeli Exclusive Economic Zone","Israel","Israel",27779080540
"191","Thailand Exclusive Economic Zone","Thailand","Thailand",306201564600
"192","Area of overlap between Australian Seabed Jurisdiction and Indonesian Exclusive Economic Zone Jurisdiction","Australia/Indonesia","Australia/Indonesia",46141797910
"193","Australian Exclusive Economic Zone","Australia","Australia",6941485518000
"194","Indian Exclusive Economic Zone","India","India",1633986527000
"195","Conflict Zone","Conflict Zone","Disputed",73207191630
"196","Polish Exclusive Economic Zone","Poland","Poland",31890411960
"197","Vietnamese Exclusive Economic Zone","Vietnam","Vietnam",645879773500
"198","Chinese Exclusive Economic Zone","China","China",876424470200
"199","Uruguayan Exclusive Economic Zone","Uruguay","Uruguay",129823575100
"200","Argentinean Exclusive Economic Zone","Argentina","Argentina",1080856043000
"201","Russian Exclusive Economic Zone","Russia","Russia",7632664971000
"202","Russia-Japan conflict zone","Southern Kuriles","Disputed",213955241900
"203","Tuvaluan Exclusive Economic Zone","Tuvalu","Tuvalu",755282832400
"204","Wallis and Futuna Exclusive Economic Zone","Wallis and Futuna","France",259268890800
"205","United States Exclusive Exclusive Economic Zone (Alaska)","Alaska","United States",3685135702000
