"","Country","EEZ","Sovereign","Area_m2","Species..ASFIS.species.","Aquaculture.area..FAO.major.fishing.area.","Environment..Environment.","Unit","X2010","X2011","X2012","X2013","X2014","avg_prod"
"45","Christmas Island","Christmas Island Exclusive Economic Zone","Australia","329296085100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Clipperton Island","Clipperton Island Exclusive Economic Zone","rance","433025257900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Cocos Islands","Cocos Islands Exclusive Economic Zone","Australia","469065208100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Colombia","Colombian Exclusive Economic Zone (Quitasueño)","Colombia","4645350207","All","All","Marine","t",12689,9522,9045,4695,3012,7792.6
"49","Colombia","Colombian Exclusive Economic Zone (Serrara)","Colombia","3995199763","All","All","Marine","t",12689,9522,9045,4695,3012,7792.6
"50","Colombia","Colombian Exclusive Economic Zone","Colombia","720806297500","All","All","Marine","t",12689,9522,9045,4695,3012,7792.6
"51","Colombia - Jamaica","Colombia - Jamaica (Joint Regime)","Joint Regime","18318648970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Comoro Islands","Comoran Exclusive Economic Zone","Comoro Islands","165206388800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Conflict Zone","Conflict Zone","Disputed","73207191630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Cook Islands","Cook Islands Exclusive Economic Zone","New Zealand","1966947867000","All","All","Marine","t",NA,NA,4.2,6,6,5.4
"55","Costa Rica","Costa Rican Exclusive Economic Zone","Costa Rica","574324332300","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"56","Croatia","Croatian Exclusive Economic Zone","Croatia","55335549850","All","All","Marine","t",8942.51,6563,6226.36,8783.9,9341.24,7971.402
"57","Crozet Islands","Crozet Islands Exclusive Economic Zone","rance","573111463700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Cuba","Cuban Exclusive Economic Zone","Cuba","365000249900","All","All","Marine","t",1650,1796,1583,1518.7,1500,1609.54
"59","Curaçao","Curaçaoan Exclusive Economic Zone","Netherlands","30525955990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Cyprus","Cypriote Exclusive Economic Zone","Cyprus","98056013390","All","All","Marine","t",4045.3,4599.58,4272.56,5284.24,4792.3,4598.796
"61","Democratic Republic of the Congo","Democratic Republic of the Congo Exclusive Economic Zone","Democratic Republic of the Congo","13272440050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Denmark","Danish Exclusive Economic Zone","Denmark","100452346200","All","All","Marine","t",12780,12442,12527.38,16461,17667.9,14375.656
"63","Djibouti","Djiboutian Exclusive Economic Zone","Djibouti","7015375254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Dominica","Dominican Exclusive Economic Zone","Dominica","28655447200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Dominican Republic","Dominican Republic Exclusive Economic Zone","Dominican Republic","270241978800","All","All","Marine","t",1140,350,350,350,350,508
"66","East Timor","East Timor Exclusive Economic Zone","East Timor","40149661310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Easter Island","Chilean Exclusive Economic Zone (Easter Island)","Chile","721678914500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Ecuador","Ecuadorean Exclusive Economic Zone","Ecuador","238320467800","All","All","Marine","t",2.34,NA,NA,NA,5,3.67
"69","Egypt","Egyptian Exclusive Economic Zone","Egypt","236107605000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","El Salvador","El Salvador Exclusive Economic Zone","El Salvador","94008278220","All","All","Marine","t",12,12,17,17,17,15
"71","Equatorial Guinea","Equatorial Guinean Exclusive Economic Zone","Equatorial Guinea","309674158200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Eritrea","Eritrean Exclusive Economic Zone","Eritrea","78653406030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
