"","Country","EEZ","Sovereign","Area_m2","Species..ASFIS.species.","Aquaculture.area..FAO.major.fishing.area.","Environment..Environment.","Unit","X2010","X2011","X2012","X2013","X2014","avg_prod"
"200","Seychelles","Seychellois Exclusive Economic Zone","Seychelles","1337930914000","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"201","Sierra Leone","Sierra Leonian Exclusive Economic Zone","Sierra Leone","160094674600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Singapore","Singaporean Exclusive Economic Zone","Singapore","760982994.4","All","All","Marine","t",3062.75,3458.37,3096.62,4463.09,4367.92,3689.75
"203","Sint-Eustasius","Sint-Eustasius Exclusive Economic Zone","Netherlands","2237456989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Sint-Maarten","Sint-Maarten Exclusive Economic Zone","Netherlands","496380924.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Slovenia","Slovenian Exclusive Economic Zone","Slovenia","185902904.4","All","All","Marine","t",119.3,494.7,364,379,497.5,370.9
"206","Solomon Islands","Solomon Islands Exclusive Economic Zone","Solomon Islands","1604986754000","All","All","Marine","t",8000,8000,12850,16700,18000,12710
"207","Somalia","Somali Exclusive Economic Zone","Somalia","782807219000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","South Africa","South African Exclusive Economic Zone","South Africa","1066696584000","All","All","Marine","t",4006,4768.48,4260.91,4255,4405,4339.078
"209","South Georgia and the South Sandwich Islands","South Georgian Exclusive Economic Zone","United Kingdom","1442686043000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","South Korea","South Korean Exclusive Economic Zone","South Korea","324430270500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Southern Kuriles","Russia-Japan conflict zone","Disputed","213955241900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Spain","Spanish Exclusive Economic Zone","Spain","554656891000","All","All","Marine","t",229322.25,251053.52,243964.22,204338.07,264285.38,238592.688
"213","Spratly Islands","Spratly Islands Exclusive Economic Zone","Disputed","440736084800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Sri Lanka","Sri Lankan Exclusive Economic Zone","Sri Lanka","532894345900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Sudan","Sudanese Exclusive Economic Zone","Sudan","66640610950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Sudan/Egypt","Disputed Sudan-Egypt","Disputed","25880122200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Suriname","Surinamese Exclusive Economic Zone","Suriname","128061452700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Svalbard","isheries Zone around Svalbard","Norway","789866047300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Sweden","Swedish Exclusive Economic Zone","Sweden","154595957100","All","All","Marine","t",3665,4725,4359,4824,4239,4362.4
"220","Syria","Syrian Exclusive Economic Zone","Syria","10180250760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Taiwan","Taiwanese Exclusive Economic Zone","Taiwan","342208886600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Tanzania","Tanzanian Exclusive Economic Zone","Tanzania","242540840900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Thailand","Thailand Exclusive Economic Zone","Thailand","306201564600","All","All","Marine","t",270628,186729,185860,216839,209567,213924.6
"224","Togo","Togolese Exclusive Economic Zone","Togo","15469114170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Tokelau","Tokelau Exclusive Economic Zone","New Zealand","320391712700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Tonga","Tongan Exclusive Economic Zone","Tonga","666658385600","All","All","Marine","t",0.3,0.3,NA,0.04,0.31,0.2375
"227","Trindade","Brazilian Exclusive Economic Zone (Trindade)","Brazil","469941819200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Trinidad and Tobago","Trinidad and Tobago Exclusive Economic Zone","Trinidad and Tobago","75609690530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Trinidad and Tobago/Venezuela/Guyana","Disputed Trinidad and Tobago/Venezuela/Guyana","Disputed","4352346187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Tristan da Cunha","Tristan Da Cunha Exclusive Economic Zone","United Kingdom","754102120200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Tunisia","Tunisian Exclusive Economic Zone","Tunisia","100407220400","All","All","Marine","t",350,70,220,630,96,273.2
"232","Turkey","Turkish Exclusive Economic Zone","Turkey","255415795700","All","All","Marine","t",89153,88444,101248,110845.1,126063,103150.62
"233","Turkmenistan","Turkmen Exclusive Economic Zone","Turkmenistan","77711271190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Turks and Caicos Islands","Turks and Caicos Exclusive Economic Zone","United Kingdom","153833898100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Tuvalu","Tuvaluan Exclusive Economic Zone","Tuvalu","755282832400","All","All","Marine","t",2.5,2.5,2.5,2.5,2.5,2.5
"236","Ukraine","Ukrainian Exclusive Economic Zone","Ukraine","134512945500","All","All","Marine","t",78.7,63.2,117,69.7,70,79.72
"237","United Arab Emirates","United Arab Emirates Exclusive Economic Zone","United Arab Emirates","54591244780","All","All","Marine","t",182,395,390,660,640,453.4
"238","United Kingdom","United Kingdom Exclusive Economic Zone","United Kingdom","721712507500","All","All","Marine","t",188369.55,187109.4,192249.6,192104,191163,190199.11
"239","United States","United States Exclusive Economic Zone","United States","2440592283000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Uruguay","Uruguayan Exclusive Economic Zone","Uruguay","129823575100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Vanuatu","Vanuatu Exclusive Economic Zone","Vanuatu","620779671900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Venezuela","Venezuelan Exclusive Economic Zone","Venezuela","472089722700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Vietnam","Vietnamese Exclusive Economic Zone","Vietnam","645879773500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Virgin Islands of the United States","Virgin Islander Exclusive Economic Zone","United States","35953120580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Wake Island","Wake Island Exclusive Economic Zone","United States","408443799900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Wallis and utuna","Wallis and utuna Exclusive Economic Zone","rance","259268890800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Western Sahara","Western Saharan Exclusive Economic Zone","Morocco","251210994100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Western Sahara/Mauritania","Disputed Western Sahara/Mauritania","Disputed","49896105030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Yemen","Yemeni Exclusive Economic Zone","Yemen","546798861500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Puerto Rico",NA,NA,NA,"All","All","Marine","t",NA,NA,NA,NA,NA,NA
"251","alkland Is.(Malvinas)",NA,NA,NA,"All","All","Marine","t",NA,NA,NA,NA,NA,NA
"252","China, Hong Kong SAR",NA,NA,NA,"All","All","Marine","t",2148,1123,1787,1577,1896,1706.2
"253","iji, Republic of",NA,NA,NA,"All","All","Marine","t",560,460,560,470,550,520
"254","R�union",NA,NA,NA,"All","All","Marine","t",50,30,30,5,5,24
"255","Micronesia, ed.States of",NA,NA,NA,"All","All","Marine","t",NA,NA,NA,NA,NA,NA
"256","Bonaire/S.Eustatius/Saba",NA,NA,NA,"All","All","Marine","t",NA,0.7,NA,NA,NA,0.7
"257","Korea, Republic of",NA,NA,NA,"All","All","Marine","t",1355000,1477547,1488949,1515210,1546681,1476677.4
"258","Timor-Leste",NA,NA,NA,"All","All","Marine","t",1500,1500,1500,1500,1500,1500
"259","Serbia and Montenegro",NA,NA,NA,"All","All","Marine","t",NA,NA,NA,NA,NA,NA
"260","Totals",NA,NA,NA,"","","","",36475446.52,38830702.83,42435472.89,46198906.58,47455226.9,42279151.144
"261","aroe Islands",NA,NA,NA,"All","All","Marine","t",47575,60473,76564,75909,86454,69395
"262","Channel Islands",NA,NA,NA,"All","All","Marine","t",1130.2,1091.1,882.24,972.13,1316.75,1078.484
"263","Yugoslavia SR",NA,NA,NA,"All","All","Marine","t",NA,NA,NA,NA,NA,NA
"264","Taiwan Province of China",NA,NA,NA,"All","All","Marine","t",41428.6,38097.6,30390,31705.47,29196.05,34163.544
"265","Korea, Dem. People's Rep",NA,NA,NA,"All","All","Marine","t",504600,504600,504600,504600,504700,504620
"266","Russian ederation",NA,NA,NA,"All","All","Marine","t",6264,10254,11446,25766,25251,15796.2
"267","Netherlands Antilles",NA,NA,NA,"All","All","Marine","t",NA,NA,NA,NA,NA,NA
"268","Zanzibar",NA,NA,NA,"All","All","Marine","t",125157,130400,150876,110438,133020,129978.2
"269","United States of America",NA,NA,NA,"All","All","Marine","t",196053,155958,191201,183167,183892,182054.2
"270","Viet Nam",NA,NA,NA,"All","All","Marine","t",122839,134033,169121,201609,209662,167452.8
"271","St. Pierre and Miquelon",NA,NA,NA,"All","All","Marine","t",NA,2,3,5,59,17.25
"272","Turks and Caicos Is.",NA,NA,NA,"All","All","Marine","t",NA,NA,NA,NA,NA,NA
"273","Un. Sov. Soc. Rep.",NA,NA,NA,"All","All","Marine","t",NA,NA,NA,NA,NA,NA
"274","Venezuela, Boliv Rep of",NA,NA,NA,"All","All","Marine","t",1.33,1.24,0.18,NA,1.24,0.9975
"275","Tanzania, United Rep. of",NA,NA,NA,"All","All","Marine","t",6885,6600.8,6510,6689,6705,6677.96
