Country ,Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),Unit,2010,2011,2012,2013,2014
"Venezuela, Boliv Rep of",All,All,Marine,t,1,1,0,,1
Viet Nam,All,All,Marine,t,122839,134033,169121,201609,209662
Yugoslavia SFR,All,All,Marine,t,,,,,
Zanzibar,All,All,Marine,t,125157,130400,150876,110438,133020
Totals,,,,,36475447,38830703,42435473,46198907,47455227
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
7,,,,,,,,,
