"","Factor","Suitable Area (km2)","Percent Area Suitable"
"1","EEZ",2938812.87554744,100
"2","Depth",60501.165231586,2.05869403033413
"3","Shipping Activity",57983.7909320174,1.97303446621168
"4","Marine Protected Areas",49457.2602688926,1.68289926454333
"5","Maximum current velocity",48478.2661426336,1.64958669352512
"6","Coral Presence",47638.293942235,1.62100466955934
"7","Benthic Oil Structure",46895.3980812942,1.59572589570061
"8","Deep Sea Mining",46895.3980812942,1.59572589570061
