"","Sovereign1","suitable_area","total_area"
"138","Taiwan",61142.9566712769,429248.9941641
"139","Tanzania",16048.9364408562,241452.798387
"140","Thailand",220780.073792237,298685.971043
"141","Togo",1086.33144893981,15439.2618032
"142","Tonga",5827.85002560823,666078.527932
"143","Trinidad and Tobago",17434.6890138503,76575.0360158
"144","Tunisia",54260.0525476778,99763.7373247
"145","Turkey",38659.8418274352,262134.62716
"146","Turkmenistan",47174.7590514137,61222.8609384
"147","Tuvalu",3458.00327003304,753126.434715
"148","Ukraine",72689.8528299714,136252.734661
"149","United Arab Emirates",56119.7502157471,58753.54664832
"150","United Kingdom",412572.758257319,6613920.11544691
"151","United States",1707053.90446646,12168351.8029076
"152","Uruguay",65427.0650850216,143090.710488
"153","Vanuatu",4073.11055136663,623417.068474
"154","Venezuela",95436.3833697847,473730.61532469
"155","Vietnam",352482.048220617,750997.838971
"156","Western Sahara",53540.1252474091,284066.375395
"157","Yemen",41783.6772237085,527382.733788
"158",NA,8000.04292011914,338839.158301
