"","fit","lwr","upr"
"1",2.61960928418567,2.14829867259578,3.09091989577556
"2",2.43024777734444,1.9606488511747,2.89984670351418
"3",2.75305748314349,2.2754133014393,3.23070166484769
"4",2.63501532626281,2.16318724035724,3.10684341216838
"5",2.45680991885675,1.98749161062367,2.92612822708983
"6",2.60946254612797,2.13846191368983,3.08046317856611
"7",2.87189650426955,2.38518370610373,3.35860930243537
"8",3.57786510138361,2.98226404984694,4.17346615292028
"9",2.26226879442062,1.78699232951029,2.73754525933095
"10",2.57942076407755,2.1091937849631,3.049647743192
"11",2.23995659555028,1.76342665122267,2.7164865398779
"12",2.22133653435016,1.74367275249123,2.69900031620909
"13",2.2803576127905,1.80601260491086,2.75470262067014
"14",2.63018101650757,2.15852138074498,3.10184065227016
"15",2.07264166616427,1.58313368895587,2.56214964337267
"16",2.1830073641479,1.70276075839983,2.66325396989597
"17",2.69228330336334,2.21803974387549,3.16652686285119
"18",2.38121406411273,1.91065160170597,2.85177652651949
"19",2.47399562441521,2.00476828929691,2.94322295953351
"20",2.67852411405996,2.20493129382287,3.15211693429706
"21",2.46722227832957,1.99796759069421,2.93647696596493
"22",2.25780635464655,1.78228840811084,2.73332430118227
"23",2.22834893970941,1.75112150178269,2.70557637763613
"24",2.78742889426042,2.30748640569194,3.2673713828289
"25",2.56430690555705,2.09438744022354,3.03422637089056
"26",2.75289811029442,2.27526395912121,3.23053226146763
"27",2.78979292485501,2.30968252990043,3.26990331980959
"28",2.62800292090356,2.15641736720907,3.09958847459805
"29",2.67831161692787,2.20472849898436,3.15189473487137
"30",3.01055088296379,2.50941867314715,3.51168309278042
